,APPID,Name,Current,24h,Total
+,10,Counter-Strike,"5,859","18,815","319,586"
+,20,Team Fortress Classic,91,99,"1,897"
+,30,Day of Defeat,104,162,"7,758"
+,40,Deathmatch Classic,1,7,629
+,50,Half-Life: Opposing Force,59,96,254
+,60,Ricochet,5,7,76
+,70,Half-Life,312,493,"2,167"
+,80,Counter-Strike: Condition Zero,344,777,"32,748"
+,90,Half-Life Dedicated Server,2,9,16
+,92,Codename Gordon,34,49,"2,012"
+,100,Counter-Strike: Condition Zero Deleted Scenes,36,72,361
+,130,Half-Life: Blue Shift,39,50,174
+,205,Source Dedicated Server,1,2,10
+,211,Source SDK,14,20,60
+,215,Source SDK Base 2006,1,3,17
+,218,Source SDK Base 2007,"3,179","9,527","16,321"
+,219,Half-Life 2: Demo,4,9,85
+,220,Half-Life 2,454,814,"12,953"
+,240,Counter-Strike: Source,"2,288","6,758","100,056"
+,280,Half-Life: Source,43,59,452
+,300,Day of Defeat: Source,354,769,"7,507"
+,310,Source 2007 Dedicated Server,1,1,13
+,320,Half-Life 2: Deathmatch,151,234,"2,702"
+,340,Half-Life 2: Lost Coast,10,20,180
+,360,Half-Life Deathmatch: Source,10,19,79
+,380,Half-Life 2: Episode One,76,136,792
+,400,Portal,276,361,"20,672"
+,410,Portal: First Slice,3,7,335
+,420,Half-Life 2: Episode Two,106,182,"1,308"
+,440,Team Fortress 2,"38,957","46,661","122,938"
+,480,Spacewar,"3,736","11,600","22,843"
+,500,Left 4 Dead,350,482,"30,616"
+,513,Left 4 Dead Authoring Tools,2,5,8
+,550,Left 4 Dead 2,"6,520","10,756","162,399"
+,563,Left 4 Dead 2 Authoring Tools,16,24,38
+,570,Dota 2,"318,484","894,932","1,295,114"
+,620,Portal 2,"1,461","2,107","98,460"
+,629,Portal 2 Authoring Tools - Beta,15,27,46
+,630,Alien Swarm,15,57,"60,467"
+,635,Alien Swarm Dedicated Server,1,2,9
+,640,Alien Swarm - SDK,1,7,11
+,644,Portal 2 Publishing Tool,3,4,10
+,730,Counter-Strike: Global Offensive,"224,742","606,247","854,801"
+,740,Counter-Strike Global Offensive - Dedicated Server,1,2,239
